Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,FirstItemName,FirstItemPercent,SecondItemName,SecondItemPercent,ThirdItemName,ThirdItemPercent,FourthItemName,FourthItemPercent,FifthItemName,FifthItemPercent,SixthItemName,SixthItemPercent,SeventhItemName,SeventhItemPercent
Nami,Support,0.5199,0.0691,0.0003,75.45,1.51,4.8,15.01,0.57,8808,16334,10951,14.6,0.13,0.13,9761,5,Frost Queen's Claim,18.18,Sightstone,18.18,Enchantment:Alacrity,9.09,Kindlegem,9.09,Aegis of the Legion,9.09,Faerie Charm,9.09,Other,
Nasus,Top,0.5161,0.0705,0.0143,43.54,5.01,5.31,5.98,2.56,19494,34898,1943,201.2,2.16,4.29,12410,8,Blade of the Ruined King,20,Long Sword,10,Boots of Swiftness,10,Dagger,10,Phage,10,Black Cleaver,10,Other,
Nautilus,Top,0.5261,0.077,0.3904,20.54,4.05,5.07,9.57,2.11,18120,25781,2885,183.4,1.18,2.37,11738,9,Boots of Swiftness,14.71,Sunfire Cape,8.82,Iceborn Gauntlet,8.82,Corrupting Potion,8.82,Kindlegem,5.88,Doran's Ring,5.88,Other,
Nidalee,Jungle,0.4978,0.0525,0.0313,51.33,6.89,5.36,7.97,3.48,18276,29321,14259,45.2,13.57,68.22,12316,9,Enchantment:Runic Echoes,20,Rod of Ages,16.67,Ionian Boots of Lucidity,13.33,Blasting Wand,10,Iceborn Gauntlet,10,Abyssal Scepter,6.67,Other,
Nocturne,Jungle,0.4959,0.0363,0.0019,34.14,7.59,5.68,7.45,3.62,17382,31668,9603,53.5,10.14,73.28,12818,20,Ionian Boots of Lucidity,18.75,Enchantment:Warrior,12.5,Sterak's Gage,12.5,Trinity Force,12.5,Phantom Dancer,12.5,Warden's Mail,6.25,Other,
Nunu,Jungle,0.4977,0.0057,0.0004,37.86,4.15,4.75,10.77,2.25,13115,37019,13656,44.9,12.19,58.51,11551,44,Doran's Ring,18,Spell Tome,16,Sorcerer's Shoes,12,Rabadon's Deathcap,10,Blasting Wand,10,Faerie Charm,5,Other,
Olaf,Jungle,0.4434,0.0045,0.0013,25.38,5.82,5.78,7.74,2.77,16743,36171,8467,54.5,8.8,62.96,11845,46,Blade of the Ruined King,20,Long Sword,10,Boots of Swiftness,10,Dagger,10,Phage,10,Black Cleaver,10,Other,
Orianna,Middle,0.4694,0.0692,0.0009,30.33,5.75,5.39,8.89,2.92,20295,16797,1786,189.7,2.31,10.44,12346,33,Blasting Wand,16.67,Sorcerer's Shoes,16.67,Doran's Ring,16.67,Athene's Unholy Grail,11.11,Rabadon's Deathcap,11.11,Amplifying Tome,11.11,Other,
Pantheon,Top,0.5148,0.038,0.013,59.46,8.11,6.42,6.58,3.68,22092,23548,1954,156.3,1.77,3.65,12230,22,Maw of Malmortius,19,The Black Cleaver,12,Mercury's Treads,8,Corrupting Potion,8,Ruby Crystal,5,Faerie Charm,4,Other,
Poppy,Top,0.5275,0.0953,0.2799,20.49,5.6,5.26,7.65,2.89,21144,27273,3081,177.9,2.1,3.4,12164,3,Sunfire Cape,13.16,Iceborn Gauntlet,13.16,Corrupting Potion,10.53,Spirit Visage,5.26,Giant's Belt,5.26,Kindlegem,5.26,Other,
Quinn,ADC,0.5056,0.0075,0.0352,59.94,7.84,6.75,7.78,3.42,22114,21145,3019,180.3,2.75,6.53,12883,14,Youmuu's Ghostblade,20,Phantom Dancer,15,Boots of Swiftness,13,Null-Magic Mantle,8,Doran's Blade,4,Ruby Crystal,4,Other,
Rammus,Jungle,0.5086,0.0338,0.1954,26.09,4.34,5.27,11.48,2.11,15339,33480,7748,43.8,6.39,56.86,11343,22,Blade of the Ruined King,20,Long Sword,10,Boots of Swiftness,10,Dagger,10,Phage,10,Black Cleaver,10,Other,
Rek'Sai,Jungle,0.486,0.0238,0.0008,60.33,4.93,4.75,9.53,2.62,13776,36895,14212,42.1,11.67,64.65,11676,39,Enchantment:Warrior,11.67,Boots of Swiftness,6.67,Enchantment:Cinderhulk,6.67,Sunfire Cape,6.67,Cloth Armor,6.67,Randuin's Omen,6.67,Other,
Renekton,Top,0.4895,0.0639,0.0056,43.78,5.55,5.79,6.53,2.66,19325,34911,6594,199.5,3.2,4.67,12465,18,Blade of the Ruined King,20,Long Sword,10,Boots of Swiftness,10,Dagger,10,Phage,10,Black Cleaver,10,Other,
Rengar,Jungle,0.4792,0.0484,0.0276,94.19,8.24,6.43,6.52,3.65,17567,28902,9418,48.6,10.87,70.09,12755,23,Randuin's Omen,20,Raptor Cloak,20,Enchantment:Distortion,8,Spirit Visage,8,Sunfire Cape,5,Ruby Crystal,4,Other,
Riven,Top,0.4818,0.069,0.0068,134.01,6.78,6.48,5.13,3.07,18003,23513,2301,193.5,4.45,7.06,12693,37,Maw of Malmortius,8.57,The Black Cleaver,8.57,Ionian Boots of Lucidity,8.57,Ravenous Hydra,5.71,Vampiric Scepter,5.71,Serrated Dirk,5.71,Other,
Rumble,Top,0.4248,0.0074,0.0004,58.49,5.61,6.6,7.31,2.57,23464,23179,1899,156.5,1.33,3.36,11458,55,Sorcerer's Shoes,12.5,Haunting Guise,8.33,Zhonya's Hourglass,8.33,Liandry's Torment,8.33,Needlessly Large Rod,8.33,Abyssal Scepter,8.33,Other,
